’2021- 03 -27 22: 34: 15’,98
’2021- 03 -27 22: 34: 18’,81
’2021- 03 -27 22: 34: 21’,35
’2021- 03 -27 22: 34: 24’,13
’2021- 03 -27 22: 34: 27’,65
’2021- 03 -27 22: 34: 30’,14
’2021- 03 -27 22: 34: 33’,63
’2021- 03 -27 22: 34: 36’,36
’2021- 03 -27 22: 34: 39’,25
’2021- 03 -27 22: 34: 42’,69
’2021- 03 -27 22: 34: 45’,15
’2021- 03 -27 22: 34: 48’,94
’2021- 03 -27 22: 34: 51’,29
’2021- 03 -27 22: 34: 54’,1
’2021- 03 -27 22: 34: 57’,17
’2021- 03 -27 22: 35: 00’,95
’2021- 03 -27 22: 35: 03’,5
’2021- 03 -27 22: 35: 06’,4
’2021- 03 -27 22: 35: 09’,51
’2021- 03 -27 22: 35: 12’,98
’2021- 03 -27 22: 35: 15’,88
’2021- 03 -27 22: 35: 18’,23
’2021- 03 -27 22: 35: 21’,5
’2021- 03 -27 22: 35: 24’,82
’2021- 03 -27 22: 35: 27’,52
’2021- 03 -27 22: 35: 30’,66
’2021- 03 -27 22: 35: 33’,16
’2021- 03 -27 22: 35: 36’,37
’2021- 03 -27 22: 35: 39’,38
’2021- 03 -27 22: 35: 42’,44
’2021- 03 -27 22: 35: 45’,1
’2021- 03 -27 22: 35: 48’,97
’2021- 03 -27 22: 35: 51’,71
’2021- 03 -27 22: 35: 54’,28
’2021- 03 -27 22: 35: 57’,37
’2021- 03 -27 22: 36: 00’,58
’2021- 03 -27 22: 36: 03’,77
’2021- 03 -27 22: 36: 06’,97
’2021- 03 -27 22: 36: 09’,94
’2021- 03 -27 22: 36: 12’,4
’2021- 03 -27 22: 36: 15’,9
’2021- 03 -27 22: 36: 18’,31
’2021- 03 -27 22: 36: 21’,45
’2021- 03 -27 22: 36: 24’,75
’2021- 03 -27 22: 36: 27’,35
’2021- 03 -27 22: 36: 30’,98
’2021- 03 -27 22: 36: 33’,42
’2021- 03 -27 22: 36: 36’,99
’2021- 03 -27 22: 36: 39’,68
’2021- 03 -27 22: 36: 42’,12
’2021- 03 -27 22: 36: 45’,60
’2021- 03 -27 22: 36: 48’,57
’2021- 03 -27 22: 36: 51’,94
’2021- 03 -27 22: 36: 54’,8
’2021- 03 -27 22: 36: 57’,95
’2021- 03 -27 22: 37: 00’,68
’2021- 03 -27 22: 37: 03’,13
’2021- 03 -27 22: 37: 06’,30
’2021- 03 -27 22: 37: 09’,6
’2021- 03 -27 22: 37: 12’,62
’2021- 03 -27 22: 37: 15’,42
’2021- 03 -27 22: 37: 18’,65
’2021- 03 -27 22: 37: 21’,82
’2021- 03 -27 22: 37: 24’,52
’2021- 03 -27 22: 37: 27’,67
’2021- 03 -27 22: 37: 30’,21
’2021- 03 -27 22: 37: 33’,95
’2021- 03 -27 22: 37: 36’,12
’2021- 03 -27 22: 37: 39’,71
’2021- 03 -27 22: 37: 42’,1
’2021- 03 -27 22: 37: 45’,90
’2021- 03 -27 22: 37: 48’,31
’2021- 03 -27 22: 37: 51’,38
’2021- 03 -27 22: 37: 54’,57
’2021- 03 -27 22: 37: 57’,16
’2021- 03 -27 22: 38: 00’,90
’2021- 03 -27 22: 38: 03’,40
’2021- 03 -27 22: 38: 06’,79
’2021- 03 -27 22: 38: 09’,35
’2021- 03 -27 22: 38: 11’,
’2021- 03 -27 23: 06: 34’,-126
’2021- 03 -27 23: 06: 35’,-126
’2021- 03 -27 23: 06: 38’,120
’2021- 03 -27 23: 06: 39’,120
’2021- 03 -27 23: 06: 42’,116
’2021- 03 -27 23: 06: 43’,116
’2021- 03 -27 23: 06: 46’,-126
’2021- 03 -27 23: 06: 47’,-126
’2021- 03 -27 23: 06: 50’,125
’2021- 03 -27 23: 06: 51’,125
’2021- 03 -27 23: 06: 54’,101
’2021- 03 -27 23: 06: 55’,101
’2021- 03 -27 23: 06: 58’,102
’2021- 03 -27 23: 06: 59’,102
’2021- 03 -27 23: 07: 02’,103
’2021- 03 -27 23: 07: 03’,103
’2021- 03 -27 23: 07: 06’,103
’2021- 03 -27 23: 07: 07’,103
’2021- 03 -27 23: 07: 10’,116
’2021- 03 -27 23: 07: 11’,116
’2021- 03 -27 23: 07: 14’,-146
’2021- 03 -27 23: 07: 15’,-146
’2021- 03 -27 23: 07: 19’,-144
’2021- 03 -27 23: 07: 20’,-144
’2021- 03 -27 23: 07: 23’,-143
’2021- 03 -27 23: 07: 24’,-143
’2021- 03 -27 23: 07: 27’,-136
’2021- 03 -27 23: 07: 28’,-136
’2021- 03 -27 23: 07: 31’,115
’2021- 03 -27 23: 07: 32’,115
’2021- 03 -27 23: 07: 35’,92
’2021- 03 -27 23: 07: 36’,92
’2021- 03 -27 23: 07: 39’,91
’2021- 03 -27 23: 07: 40’,91
’2021- 03 -27 23: 07: 43’,98
’2021- 03 -27 23: 07: 44’,98
’2021- 03 -27 23: 07: 47’,90
’2021- 03 -27 23: 07: 48’,90
’2021- 03 -27 23: 07: 51’,90
’2021- 03 -27 23: 07: 52’,90
’2021- 03 -27 23: 07: 53’,
’2021- 03 -28 00: 06: 58’,506
’2021- 03 -28 00: 06: 59’,506
’2021- 03 -28 00: 07: 14’,507
’2021- 03 -28 00: 07: 15’,507
’2021- 03 -28 00: 07: 30’,508
’2021- 03 -28 00: 07: 31’,508
’2021- 03 -28 00: 07: 45’,505
’2021- 03 -28 00: 07: 46’,505
’2021- 03 -28 00: 08: 01’,274
’2021- 03 -28 00: 08: 02’,274
’2021- 03 -28 00: 08: 17’,506
’2021- 03 -28 00: 08: 18’,506
’2021- 03 -28 00: 08: 33’,507
’2021- 03 -28 00: 08: 34’,507
